"Alachua County, Florida (FL001)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FL001oil ID,,,,,
14,Pomona sand ,"57,415.90",9.30%,FL00101062,,,,,
3,"Arredondo fine sand, 0 to 5 percent slopes ","54,523.10",8.80%,FL00101084,,,,,
8,"Millhopper sand, 0 to 5 percent slopes ","52,194.60",8.40%,FL00101063,,,,,
2,"Candler fine sand, 0 to 5 percent slopes ","25,046.10",4.00%,FL00101103,,,,,
50,Sparr fine sand ,"21,440.50",3.50%,FL00101058,,,,,
21,Newnan sand ,"20,631.40",3.30%,FL00101078,,,,,
17,Wauchula sand ,"18,053.60",2.90%,FL00101080,,,,,
30,"Kendrick sand, 2 to 5 percent slopes ","16,053.10",2.60%,FL00101065,,,,,
49,"Lochloosa fine sand, 0 to 2 percent slopes ","15,633.50",2.50%,FL00101100,,,,,
28,Chipley sand ,"14,886.60",2.40%,FL00101068,,,,,
39,"Bonneau fine sand, 2 to 5 percent slopes ","14,984.90",2.40%,FL00101067,,,,,
46,"Jonesville complex, 0 to 5 percent slopes ",,,FL00101075,,,,,
,"Cadillac complex, 0 to 5 percent slopes ",,,FL00101076,,,,,
13,Pelham sand ,"9,208.00",1.50%,FL00101071,,,,,
53,Shenks muck ,"6,309.40",1.00%,FL00101085,,,,,
33,"Norfolk loamy fine sand, 2 to 5 percent slopes ","5,305.50",0.90%,FL00101064,,,,,
51,Plummer fine sand ,"5,733.90",0.90%,FL00101101,,,,,
52,Ledwith muck ,"5,482.20",0.90%,FL00101086,,,,,
5,"Fort Meade fine sand, 0 to 5 percent slopes ","4,673.90",0.80%,FL00101074,,,,,
7,"Kanapaha sand, 0 to 5 percent slopes ","5,260.70",0.80%,FL00101099,,,,,
56,Wauberg sand ,"5,071.80",0.80%,FL00101088,,,,,
48,Myakka sand ,"4,328.80",0.70%,FL00101091,,,,,
55,"Lake sand, 0 to 5 percent slopes ","4,066.50",0.70%,FL00101089,,,,,
23,Mulat sand ,"3,812.20",0.60%,FL00101083,,,,,
59,Pottsburg sand ,"2,928.80",0.50%,FL00101090,,,,,
31,"Blichton sand, 0 to 2 percent slopes ","2,427.10",0.40%,FL00101098,,,,,
32,"Bivans sand, 2 to 5 percent slopes ","2,234.30",0.40%,FL00101097,,,,,
47,Candler- 0 to 5 percent slopes ,"1,762.70",0.30%,FL00101102,,,,,
,,,,,,,,,
,,,,,,,,,
"Baker County, Florida (FL003)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
47,Sapelo fine sand ,"27,571.90",7.30%,FL00302017,,,,,
23,Leon sand ,"23,205.80",6.20%,FL00302001,,,,,
33,Olustee complex ,"14,667.50",3.90%,FL00302003,,,,,
32,"Ocilla fine sand, 0 to 3 percent slopes ","12,742.20",3.40%,FL00302006,,,,,
43,Pottsburg sand ,"6,625.80",1.80%,FL00302020,,,,,
22,"Leefield fine sand, 0 to 5 percent slopes ","6,489.80",1.70%,FL00302005,,,,,
11,Boulogne sand ,"3,722.70",1.00%,FL00302021,,,,,
,,,,,,,,,
,,,,,,,,,
"Bay County, Florida (FL005)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FLoil ID,,,,,
30,Pottsburg sand ,"49,249.70",8.70%,FL00503010,,,,,
13,Leon sand ,"39,938.20",7.10%,FL00503003,,,,,
25,Hurricane sand ,"37,197.50",6.60%,FL00503001,,,,,
9,"Lakeland sand, 0 to 5 percent slopes ","34,092.50",6.00%,FL00503019,,,,,
1,"Albany sand, 0 to 2 percent slopes ","28,801.00",5.10%,FL00503013,,,,,
20,"Foxworth sand, 0 to 5 percent slopes ","18,932.20",3.40%,FL00503016,,,,,
32,Plummer sand ,"17,348.60",3.10%,FL00503012,,,,,
23,"Chipley sand, 0 to 5 percent slopes ","12,747.20",2.30%,FL00503018,,,,,
26,"Centenary sand, 0 to 5 percent slopes ","10,854.10",1.90%,FL00503002,,,,,
28,Allanton sand ,"8,888.40",1.60%,FL00503014,,,,,
3,"Blanton fine sand, 0 to 5 percent slopes ","7,356.80",1.30%,FL00503017,,,,,
50,Pickney fine sand ,"7,296.10",1.30%,FL00503011,,,,,
52,Bayvi loamy sand ,"7,213.70",1.30%,FL00503008,,,,,
15,"Stilson sand, 0 to 5 percent slopes ","6,341.20",1.10%,FL00503015,,,,,
